id,name,email,favorite_flavor
adf020dc-c73a-4761-81c1-6bafe5cdd58a,Serafin,Serafin4353@aim.chat,raspberry
e62bf4cb-8999-44ff-a01a-f74cc3cd4462,Tosh,Tosh4369@gmail.com,cookie crisp
634e5f9e-9802-4d5c-8f30-0bfa1ace447c,Vong,Vong4383@gmail.com,huckleberry
77df44f6-6225-4530-8d29-75e783d50007,Joeanthony,Joeanthony4386@comcast.net,pikachu
bc135cde-4195-4687-8fa9-d7c858045a98,Krystil,Krystil4399@yahoo.com,huckleberry
f3877d17-06ad-422c-b22d-df13e9ac247b,Christi,Christi4418@gmail.com,cookie crisp
cbef99c1-da10-45b5-bbb1-03542448db1b,Kaja,Kaja4433@gmail.com,cookie crisp
0b568de5-e101-4b22-82a5-e940aaa9fee6,Jerrad,Jerrad4457@yahoo.com,waffle
d6f5b2d3-9f45-4426-93ba-7e7124b67bc1,Ikeya,Ikeya4495@hotmail.com,blueberry
c81c1061-4c09-4d55-8550-4237bf4d5be3,Steveland,Steveland4499@gmail.com,blueberry
38f0e377-393a-4197-91b5-7a8978dbb04c,Jeffrie,Jeffrie4523@aim.chat,lingonberry
6d5375bb-0972-4595-b8bb-37806a70ed88,Stanely,Stanely4543@comcast.net,pikachu
ceee69f8-4e39-4de5-8e43-3722b9a4335c,Bunny,Bunny4552@aim.chat,caperberry
82a54a32-75ad-4e59-8a6f-552fa807bb74,Hadiya,Hadiya4598@comcast.net,cookie crisp
fafc030a-636e-4d3d-92c5-aa04da1b892f,Joshu,Joshu4618@hotmail.com,raspberry
90095a92-886b-4824-9892-441e974ab891,Kelisha,Kelisha4628@aim.chat,caperberry
50dcbe94-5e53-4154-84ef-b994fa5e7244,Philipp,Philipp4633@yahoo.com,cookie crisp
3ebebacc-9679-4b8a-951e-57ef71c9ec8e,Allie,Allie4661@yahoo.com,huckleberry
6ba302d0-252f-4e52-9de4-13427a828195,Alexandrea,Alexandrea4670@hotmail.com,lingonberry
3135a476-8c13-4c17-ad69-8d78d3b3fede,Yisroel,Yisroel4672@yahoo.com,cookie crisp
2ab03295-c2b4-4a9e-882c-514f99cd9771,Monae,Monae4674@gmail.com,pikachu
5b02d96c-5737-4b5b-bbbd-8bcb2ee1247a,Jameshia,Jameshia4686@hotmail.com,huckleberry
85e3cbf3-6edc-46b7-bc23-0d994f02dbd9,Mallisa,Mallisa4695@gmail.com,caperberry
7999c9f7-efa2-4cde-8d0f-830af063055a,Deserae,Deserae4707@comcast.net,lingonberry
834e98cb-e63b-4325-bc0a-fdd2dd98468a,Jaylin,Jaylin4726@hotmail.com,pikachu
c450b446-3581-45d8-b047-542169f4d001,Leia,Leia4732@gmail.com,huckleberry
eaee5c0e-c6dd-4a89-833f-21ede545a4ea,Alaa,Alaa4740@yahoo.com,honey comb
a1329ed5-36b9-40ae-b375-7a0be04acd73,Dalesia,Dalesia4757@aim.chat,huckleberry
1bddc9f6-bbda-4427-b400-75cd008bd73d,Regine,Regine4765@gmail.com,pikachu
5728ee3d-3cfb-4f37-ad5a-cafd8a8f003d,Elizibeth,Elizibeth4782@hotmail.com,lingonberry
d1310a33-7a52-4b2d-b1a6-5f8eaa9ac668,Malky,Malky4785@gmail.com,cookie crisp
d9809612-38e1-41f9-96e2-584c646f07f8,Liem,Liem4787@gmail.com,lingonberry
669c80a2-67f2-4ed3-b731-93b1ab3bf119,Dontray,Dontray4819@gmail.com,honey comb
277f00da-a92a-4a8d-b17c-b2a9a1702a63,Tamari,Tamari4824@yahoo.com,waffle
42fd09f3-e8a4-456f-9e33-076a23d47403,Ondrea,Ondrea4837@aim.chat,cookie crisp
ac933eea-83b9-4758-8f7a-526aeecd9686,Dylan,Dylan4885@comcast.net,huckleberry
5a336550-1281-44c5-bbea-e62448f9c088,Shere,Shere4889@yahoo.com,lingonberry
a1b97d00-9458-43ce-9804-4b8bf6298d42,Tino,Tino4910@comcast.net,cookie crisp
2966f207-1176-4642-a508-62af850fb5af,Naquita,Naquita4941@aim.chat,blueberry
818ad561-4a0e-4ecf-a06c-7bbb6a692c51,Tafari,Tafari4958@yahoo.com,raspberry
6f982411-d1ae-4f6a-8b25-ecb58fbc1970,Alauna,Alauna4960@hotmail.com,raspberry
1aa688f8-7984-4718-be73-c35496efc6cb,Aesha,Aesha4987@aim.chat,waffle
01a47a22-b3e7-47b1-864a-9f5fd7ed39c4,Vienna,Vienna4989@gmail.com,pikachu
5d66d75d-842b-431e-a649-562086a52059,Adolphus,Adolphus5000@hotmail.com,caperberry
bbfd192d-ac90-4ad7-b747-0b35c0027d33,Mar,Mar5013@aim.chat,caperberry
f2ac4bfc-206e-4eee-a16a-0393c091e4f3,Rocky,Rocky5022@gmail.com,huckleberry
e797d52e-3dc3-4d39-ab1c-e16703395cfe,Tyson,Tyson5076@comcast.net,cookie crisp
14cef6c5-41d4-4d7c-9be6-429933a4fe13,Chane,Chane5091@hotmail.com,raspberry
a8e41f7a-b6b8-42fb-9148-14f3b2e8b8a9,Veronica,Veronica5103@comcast.net,caperberry
b3e57d34-b5f0-451a-9781-ed8f6277f07e,Catheryn,Catheryn5106@aim.chat,lingonberry
757b2a4e-ae98-471f-8b80-04c8bbcdd377,Arnell,Arnell5118@aim.chat,caperberry
bb1b21ae-5700-4662-9f95-3cdbd17a78f0,Tashawn,Tashawn5143@hotmail.com,lingonberry
fd4a95e7-241e-43ae-92e9-b4ccc3e4bea6,Maila,Maila5152@hotmail.com,waffle
feb26400-d2ed-489c-afad-c4cb187dd639,Letticia,Letticia5218@comcast.net,lingonberry
abfe6c43-be82-4b40-8866-26513fb2e738,Gilverto,Gilverto5228@aim.chat,honey comb
d8922480-0836-4504-8d2f-d9bdbbd31bb5,Feigy,Feigy5241@hotmail.com,blueberry
73074b1b-492d-4b22-9aee-d40117e990d8,Diandrea,Diandrea5248@yahoo.com,caperberry
f51d893a-2a62-4997-a942-9df280830a54,Zora,Zora5260@comcast.net,huckleberry
62a33533-02ba-478c-84fd-c1344b7f3273,Toneisha,Toneisha5304@yahoo.com,waffle
806116a1-201c-4274-9c34-0d1e62a6cd8e,Kamau,Kamau5311@yahoo.com,raspberry
b0778fd5-6e63-4878-9912-24df9ca82851,Lejon,Lejon5317@comcast.net,lingonberry
64bd0db1-92de-4f01-a347-556242974dab,Eli,Eli5324@yahoo.com,blueberry
8d11a9e2-4fa7-4e59-baa8-b8666afc71e6,Christiana,Christiana5371@yahoo.com,pikachu
3198fe1c-97d7-4a5a-8fb0-5ce6fc326356,Jerel,Jerel5383@hotmail.com,raspberry
00e7dfe0-cbb1-4d2e-a780-915a149cb4c2,Nadeige,Nadeige5385@aim.chat,raspberry
9afb4b11-c3cf-4f28-8347-0c65c424dfd9,Raymund,Raymund5412@yahoo.com,caperberry
3eeb40ee-479f-463f-83b7-f1c5b6277923,Sammijo,Sammijo5520@comcast.net,pikachu
2e1ed4a0-a57b-4eca-a0ac-1892aba8c1ca,Kyesha,Kyesha5524@gmail.com,lingonberry
