id,name,email,favorite_flavor
80f77f57-14f4-4a79-bb02-8769f04fef05,Nathanal,Nathanal4324@aim.chat,huckleberry
efd9fd1b-673c-409a-a212-4340548f0710,Satia,Satia4328@hotmail.com,cookie crisp
09baffa0-dc1f-4ce8-80ab-31d8bdf8e268,Tarron,Tarron4331@comcast.net,blueberry
f0c760d4-f393-4f24-bfbc-5436b891f11c,Tarl,Tarl4332@gmail.com,waffle
4d91995c-b2ef-4599-886e-2e98a1659ed1,Gayla,Gayla4340@yahoo.com,caperberry
3caec3f9-55ad-4715-86cb-195a9f19e9b5,Blandon,Blandon4343@aim.chat,pikachu
b4236f28-d2fd-4cd5-bd75-3bf0d818f331,Jillmarie,Jillmarie4346@comcast.net,honey comb
95bbfa9e-d729-4006-9750-7e50d64ee1da,Fallyn,Fallyn4347@gmail.com,lingonberry
70964385-38d4-4fbf-acdd-358efa91f0f7,Nik,Nik4352@hotmail.com,cookie crisp
5d2a54f4-a41f-4dd6-8ac7-7da5424c0f7f,Ellyse,Ellyse4355@yahoo.com,blueberry
4a3c9d52-4f21-4f33-8bb4-0f4a5bc9616f,Lawanna,Lawanna4360@comcast.net,raspberry
1288037b-e4ea-4de5-bfa3-2c6ed5c77cf6,Candace,Candace4367@gmail.com,blueberry
25c754ad-7dda-41cd-b699-c858cc82d874,Lavetta,Lavetta4376@comcast.net,huckleberry
e7680a63-ef8e-4c44-bc0a-e39c0c02ce85,Julie,Julie4393@gmail.com,blueberry
63e4cacd-3c61-4605-b1d3-d4e33f564f03,Katri,Katri4396@aim.chat,honey comb
45ff961c-1101-4e6d-aa90-36e3f2b63659,Dontarius,Dontarius4408@aim.chat,huckleberry
ebdbb0e4-68bd-46f0-bd4e-a9a2c524a3e2,Ozzie,Ozzie4415@gmail.com,huckleberry
c6cbd1b8-5973-432b-b1ca-f76c74ccac86,Angelika,Angelika4426@comcast.net,huckleberry
07812073-95a2-466c-a7fd-2d40491c3084,Matteo,Matteo4438@hotmail.com,huckleberry
7dd42d81-00bb-4a4e-96fc-765102fa1799,Lasonya,Lasonya4440@gmail.com,raspberry
e4a0ef60-197a-44f8-bf2a-67545e228141,Adrianna,Adrianna4447@gmail.com,cookie crisp
1b958c7b-baf0-48a3-99bc-fdbc39a21116,Jacara,Jacara4461@hotmail.com,raspberry
cad7e2cd-4a75-4247-80d2-61fba8b7d5c2,Demonta,Demonta4463@yahoo.com,cookie crisp
9ee19e84-ed67-4990-9f98-a8cd1eb6a8e2,Mayumi,Mayumi4466@comcast.net,blueberry
43ecb291-c478-410b-8894-7897cb18034a,Manal,Manal4467@yahoo.com,raspberry
fac7ff20-e882-483c-a111-88aad3ac8649,Sereena,Sereena4469@gmail.com,pikachu
8b4d6b22-621e-446f-891d-173af5426e11,Manolo,Manolo4473@yahoo.com,waffle
94c44a66-232d-4763-9adc-d90a4a4a5478,Yelitza,Yelitza4477@gmail.com,caperberry
801cdd5c-f48f-44df-91e9-3c59538b43af,Rasheka,Rasheka4484@hotmail.com,waffle
1612c63d-7ce9-4ac6-b76f-2713dcf5f097,Jamela,Jamela4486@aim.chat,honey comb
48c41e73-fbe8-49b2-8218-29f0ae82e0e9,Tramane,Tramane4488@comcast.net,huckleberry
1f5d930a-8cec-4704-86e5-ad3cb5fd58b6,Dipesh,Dipesh4489@aim.chat,cookie crisp
1e1ba5cc-63a4-4ae1-8655-45ee117577cc,Sevan,Sevan4492@comcast.net,caperberry
407d5bc0-e248-4a72-9de5-3c598ba548b4,Detric,Detric4497@comcast.net,caperberry
fe863ec4-43b1-47a5-896f-d0f4552f596c,Sherwin,Sherwin4498@yahoo.com,honey comb
71e0039d-da64-4a3d-8a71-577a9275a480,Christoph,Christoph4507@yahoo.com,pikachu
90da40b0-7a4f-4e7d-9b9e-ffb5eb06883e,Sharieka,Sharieka4511@yahoo.com,blueberry
35a5a6c4-4c1d-441e-90fd-63c89dc08315,Garrick,Garrick4513@gmail.com,blueberry
145ffec0-64fc-482b-a667-44e51a71dccf,Derrian,Derrian4517@hotmail.com,caperberry
37d9f106-b06f-42a5-b990-0cb6fd4c2868,Phoua,Phoua4528@yahoo.com,blueberry
0f704e4b-4975-46dc-9619-8ab0a601907e,Tilla,Tilla4534@comcast.net,lingonberry
4a6ac6be-5a6d-4475-9d04-d1064196fb60,Alastair,Alastair4537@hotmail.com,raspberry
43769590-85e5-4467-942e-45f567b5fa60,Lekisha,Lekisha4538@hotmail.com,pikachu
6d819bb6-b1ab-4489-b946-71989cad0e65,Xylina,Xylina4541@comcast.net,caperberry
00ad3d86-bdb7-49de-af7f-c557168a79b3,Jamisa,Jamisa4542@hotmail.com,huckleberry
ef5e1d62-a1e4-4fae-bd22-d4c58b075f5e,Alsha,Alsha4548@aim.chat,pikachu
b5514b3c-f302-4d51-bac0-2762ff218b7c,Danyella,Danyella4555@hotmail.com,pikachu
809a7906-ab4a-4f6e-8048-9cb691820b91,Taylore,Taylore4557@gmail.com,honey comb
6f7f512b-658b-49ce-816c-2c0ecd47258c,Elvira,Elvira4560@hotmail.com,huckleberry
78337de7-762a-4787-ba46-150b2863dbbf,Christene,Christene4566@yahoo.com,honey comb
065b4ae8-0100-4ed5-bfd4-6336c7b40d44,Adron,Adron4567@aim.chat,waffle
2c7b53ce-ad82-4f62-8c43-33657752dce8,Fotini,Fotini4586@yahoo.com,waffle
4ed7b6f4-3b0e-4842-81e3-434c19d0ee66,Davit,Davit4588@hotmail.com,raspberry
f1df933f-1667-45e7-9f97-92cd20eebfe8,Kevi,Kevi4596@gmail.com,waffle
f764d7d6-20d1-43aa-8b69-2411e7e9c13a,Derrell,Derrell4607@gmail.com,caperberry
a3150f04-8f18-4a59-b613-c7376faea14d,Nino,Nino4608@gmail.com,blueberry
52c6c05c-c794-420d-92a1-119457e678e2,Jaynee,Jaynee4617@comcast.net,caperberry
f37c89e1-10c3-4926-be97-7c78b88f2a2a,Quenton,Quenton4632@yahoo.com,huckleberry
786c2b69-bb95-4be9-882b-bc8a75e8c7f7,Kriss,Kriss4637@hotmail.com,blueberry
f9768a35-4aa9-4ae9-b2d0-41e2b9ec5735,Miriah,Miriah4638@comcast.net,cookie crisp
db680a7a-4fe8-4955-bf74-e34329a6aabe,Katira,Katira4642@aim.chat,waffle
2b4bc621-0ee7-49b2-bc82-4eb85070471a,Krystl,Krystl4646@comcast.net,caperberry
3d87e600-68b3-4ab6-9c83-c41dd3771092,Melissa,Melissa4648@gmail.com,blueberry
7e141aa0-a7c7-4f55-a2f7-48633a9104b9,Shanece,Shanece4652@hotmail.com,blueberry
ede5c2db-8096-4f0d-84b9-a8fc13f362d6,Cydney,Cydney4654@yahoo.com,waffle
387636f4-ff88-4c73-bcea-b37fd3310056,Nichelle,Nichelle4659@yahoo.com,honey comb
abe673dd-4326-4ed0-93ce-22b97a263f0f,Valen,Valen4666@gmail.com,honey comb
527c859a-8bad-4f1c-be97-82f62842bebf,Asucena,Asucena4680@comcast.net,cookie crisp
c3a605cd-c289-4a7a-806a-5a271edbbd98,Daryl,Daryl4700@gmail.com,lingonberry
cc0e05c8-1ecc-4871-9c9f-e2556b9cf2eb,Dimitra,Dimitra4709@hotmail.com,raspberry
b797111e-2a5b-4c80-9ac9-f088372657af,Roschelle,Roschelle4711@yahoo.com,caperberry
4a59acec-f677-46a9-b5cd-18e7e25bbf3f,Shavonna,Shavonna4713@yahoo.com,cookie crisp
0e45de25-1ff2-4818-a487-4065b6feccd0,Edilberto,Edilberto4714@yahoo.com,honey comb
